Fecha,Cliente,Producto,Categoría,PrecioUnitario,Cantidad
2024-04-24,Luis,Mouse,Periféricos,26.34,2
2024-03-20,Sofía,Mouse,Periféricos,21.33,3
2024-04-02,Rocío,Mouse,Periféricos,26.63,3
2024-01-21,Lucía,Disco 2TB,Almacenamiento,94.7,1
2024-05-28,Marta,"Monitor 27""",Pantallas,246.79,3
2024-02-15,Diego,Parlante BT,Audio,65.48,2
2024-02-16,Rocío,Mouse,Periféricos,17.39,2
2024-04-03,Paula,SSD 512GB,Almacenamiento,77.47,1
2024-02-05,Marcos,"Monitor 24""",Pantallas,185.87,3
2024-02-16,Agustín,"Monitor 27""",Pantallas,255.42,2
2024-05-09,Marcos,Disco 2TB,Almacenamiento,76.98,2
2024-02-25,Pedro,"Notebook 15""",Computadoras,1120.01,3
2024-01-18,Nicolás,SSD 512GB,Almacenamiento,74.77,2
2024-01-15,Carlos,Auriculares,Audio,41.96,1
2024-02-08,Nicolás,Teclado,Periféricos,47.56,2
2024-05-05,Carlos,"Monitor 24""",Pantallas,222.5,3
2024-04-20,Hernán,"Notebook 14""",Computadoras,935.27,3
2024-03-23,Pedro,SSD 1TB,Almacenamiento,117.31,3
2024-02-28,Carlos,"Monitor 27""",Pantallas,241.07,3
2024-05-29,Camila,"Notebook 15""",Computadoras,1069.15,3
2024-04-03,Sofía,Cable HDMI,Accesorios,10.32,1
2024-02-24,Florencia,"Notebook 15""",Computadoras,1139.87,1
2024-04-27,Rocío,Auriculares,Audio,40.97,1
2024-06-27,Florencia,"Notebook 15""",Computadoras,1128.32,2
2024-06-21,Marta,Webcam,Periféricos,75.55,2
2024-04-27,Marcos,Teclado,Periféricos,45.45,4
2024-02-07,Marta,Webcam,Periféricos,74.26,2
2024-04-09,Marcos,"Notebook 15""",Computadoras,1144.1,2
2024-01-05,Rocío,"Monitor 24""",Pantallas,177.54,1
2024-06-20,Agustín,"Monitor 24""",Pantallas,208.35,1
2024-03-03,Marcos,Cargador USB-C,Accesorios,25.3,4
2024-06-11,Marcos,Parlante BT,Audio,69.81,3
2024-04-29,Carlos,Hub USB-C,Accesorios,34.32,2
2024-02-04,Marcos,Parlante BT,Audio,66.53,1
2024-04-02,Ana,SSD 512GB,Almacenamiento,82.35,1
2024-04-14,Pedro,"Notebook 14""",Computadoras,930.51,2
2024-03-23,Sofía,Cable HDMI,Accesorios,12.85,3
2024-02-11,Florencia,Hub USB-C,Accesorios,39.0,2
2024-06-27,Florencia,Auriculares,Audio,37.28,3
2024-06-01,Marta,Mouse,Periféricos,20.96,2
2024-04-13,Pedro,Parlante BT,Audio,51.55,2
2024-05-13,Camila,Webcam,Periféricos,78.1,2
2024-04-20,Paula,Webcam,Periféricos,64.13,4
2024-02-07,Luis,"Notebook 15""",Computadoras,1141.41,2
2024-03-26,Camila,Parlante BT,Audio,73.42,3
2024-04-27,Camila,"Monitor 24""",Pantallas,217.16,1
2024-02-16,Lucía,Teclado,Periféricos,47.78,3
2024-04-24,Camila,Hub USB-C,Accesorios,36.38,1
2024-03-09,Rocío,Webcam,Periféricos,82.51,3
2024-05-13,Lucía,Pad Mouse,Periféricos,8.52,2
2024-05-20,Sofía,Hub USB-C,Accesorios,27.25,1
2024-04-20,Ana,Pad Mouse,Periféricos,11.07,1
2024-03-08,Agustín,Hub USB-C,Accesorios,40.22,2
2024-05-06,Lucía,"Notebook 14""",Computadoras,910.01,2
2024-01-29,Sofía,Teclado,Periféricos,44.3,1
2024-02-10,Federico,Parlante BT,Audio,64.25,1
2024-05-28,Daniela,"Monitor 27""",Pantallas,273.02,1
2024-06-12,Jorge,Cable HDMI,Accesorios,12.07,2
2024-02-22,Camila,"Notebook 15""",Computadoras,1154.71,2
2024-04-26,Lucía,"Monitor 27""",Pantallas,244.75,4
2024-06-10,Ana,"Monitor 24""",Pantallas,203.28,3
2024-06-27,Federico,SSD 512GB,Almacenamiento,83.14,1
2024-03-28,Marcos,Mouse,Periféricos,19.9,2
2024-05-29,Marcos,SSD 1TB,Almacenamiento,124.4,3
2024-05-27,Hernán,Disco 2TB,Almacenamiento,93.45,2
2024-04-13,Florencia,SSD 512GB,Almacenamiento,97.16,1
2024-06-27,Ana,Teclado,Periféricos,50.3,1
2024-03-02,Marcos,Pad Mouse,Periféricos,9.04,1
2024-01-30,Diego,"Notebook 14""",Computadoras,878.13,3
2024-04-24,Luis,Teclado,Periféricos,56.94,2
2024-06-14,Rocío,Hub USB-C,Accesorios,26.14,2
2024-01-08,Camila,SSD 512GB,Almacenamiento,70.62,2
2024-03-27,Paula,Teclado,Periféricos,46.11,5
2024-03-07,Federico,"Monitor 24""",Pantallas,209.62,1
2024-02-23,Marcos,Parlante BT,Audio,55.59,2
2024-02-20,Paula,Auriculares,Audio,31.85,1
2024-04-05,Hernán,"Monitor 24""",Pantallas,209.51,6
2024-05-21,Camila,Hub USB-C,Accesorios,36.98,1
2024-01-07,Carlos,SSD 512GB,Almacenamiento,77.94,3
2024-05-26,Rocío,SSD 512GB,Almacenamiento,68.87,3
2024-05-09,Marta,"Notebook 15""",Computadoras,1188.23,2
2024-01-20,Hernán,"Notebook 15""",Computadoras,1035.98,2
2024-06-20,Paula,SSD 512GB,Almacenamiento,91.7,1
2024-03-26,Federico,"Notebook 15""",Computadoras,1082.25,3
2024-04-23,Florencia,Webcam,Periféricos,71.72,1
2024-01-14,Jorge,Hub USB-C,Accesorios,37.9,2
2024-01-22,Federico,Pad Mouse,Periféricos,11.76,4
2024-02-06,Rocío,"Notebook 15""",Computadoras,1109.79,2
2024-06-01,Federico,Auriculares,Audio,33.48,3
2024-03-26,Valentina,"Notebook 15""",Computadoras,1112.8,3
2024-06-21,Jorge,Hub USB-C,Accesorios,38.28,3
2024-02-15,Diego,SSD 512GB,Almacenamiento,77.68,2
2024-05-28,Nicolás,Cable HDMI,Accesorios,12.26,4
2024-02-23,Nicolás,"Monitor 24""",Pantallas,227.75,3
2024-02-05,Hernán,Cargador USB-C,Accesorios,27.19,2
2024-03-21,Sofía,Mouse,Periféricos,33.53,2
2024-03-13,Valentina,SSD 512GB,Almacenamiento,79.36,1
2024-01-17,Carlos,"Monitor 27""",Pantallas,287.58,3
2024-04-17,Valentina,"Monitor 27""",Pantallas,248.26,2
2024-04-07,Jorge,Webcam,Periféricos,67.95,5
2024-01-12,Ana,Parlante BT,Audio,59.51,5
2024-04-27,Lucía,Cargador USB-C,Accesorios,28.11,4
2024-01-26,Rocío,Mouse,Periféricos,25.04,1
2024-01-10,Nicolás,Hub USB-C,Accesorios,30.83,2
2024-01-07,Diego,"Monitor 24""",Pantallas,234.75,3
2024-03-22,Federico,Cargador USB-C,Accesorios,31.62,3
2024-04-17,Federico,"Monitor 27""",Pantallas,214.79,1
2024-04-07,Pedro,Auriculares,Audio,40.53,2
2024-02-08,Marta,Hub USB-C,Accesorios,38.38,2
2024-04-02,Lucía,Pad Mouse,Periféricos,12.05,2
2024-04-17,Hernán,Cable HDMI,Accesorios,13.11,1
2024-02-24,Luis,"Monitor 27""",Pantallas,264.27,1
2024-01-13,Marta,Cable HDMI,Accesorios,11.97,5
2024-03-02,Pedro,Cable HDMI,Accesorios,15.07,5
2024-05-12,Hernán,SSD 512GB,Almacenamiento,77.58,2
2024-06-21,Nicolás,Hub USB-C,Accesorios,30.52,2
2024-06-01,Florencia,Cable HDMI,Accesorios,10.78,2
2024-03-13,Sofía,Cargador USB-C,Accesorios,27.35,1
2024-02-06,Nicolás,"Notebook 14""",Computadoras,864.67,2
2024-02-08,Lucía,"Notebook 14""",Computadoras,992.39,1
2024-02-21,Hernán,Cargador USB-C,Accesorios,26.23,1
2024-03-12,Lucía,"Notebook 14""",Computadoras,906.66,3
2024-02-26,Nicolás,Mouse,Periféricos,26.64,1
2024-01-03,Valentina,"Monitor 27""",Pantallas,267.81,2
2024-01-09,Marcos,SSD 512GB,Almacenamiento,83.39,3
2024-06-11,Agustín,Mouse,Periféricos,27.65,1
2024-06-08,Pedro,Webcam,Periféricos,76.99,3
2024-03-29,Lucía,Disco 2TB,Almacenamiento,115.48,1
2024-04-14,Pedro,"Monitor 24""",Pantallas,223.95,2
2024-01-29,Carlos,Hub USB-C,Accesorios,35.95,3
2024-05-03,Paula,SSD 512GB,Almacenamiento,82.23,2
2024-05-12,Florencia,Cable HDMI,Accesorios,12.06,2
2024-01-28,Paula,Parlante BT,Audio,59.74,1
2024-03-21,Jorge,Hub USB-C,Accesorios,38.02,3
2024-02-02,Federico,Auriculares,Audio,40.24,6
2024-04-16,Diego,Disco 2TB,Almacenamiento,103.18,1
2024-05-12,Daniela,Auriculares,Audio,35.8,3
2024-01-23,Camila,"Notebook 15""",Computadoras,1111.48,1
2024-01-02,Federico,Hub USB-C,Accesorios,34.49,3
2024-01-13,Florencia,"Monitor 27""",Pantallas,263.18,2
2024-03-28,Daniela,"Monitor 27""",Pantallas,260.77,2
2024-06-06,Marcos,Hub USB-C,Accesorios,34.85,3
2024-02-06,Daniela,Auriculares,Audio,37.8,1
2024-05-27,Federico,SSD 512GB,Almacenamiento,77.02,2
2024-05-29,Federico,Pad Mouse,Periféricos,10.32,3
2024-04-29,Nicolás,Webcam,Periféricos,66.27,2
2024-05-18,Rocío,Auriculares,Audio,42.51,3
2024-02-27,Federico,Auriculares,Audio,44.52,1
2024-02-08,Carlos,Hub USB-C,Accesorios,34.84,3
2024-02-01,Pedro,Cable HDMI,Accesorios,12.33,2
2024-03-21,Sofía,Parlante BT,Audio,60.3,2
2024-01-21,Marcos,Disco 2TB,Almacenamiento,81.53,2
2024-06-10,Agustín,"Monitor 24""",Pantallas,192.44,1
2024-03-04,Nicolás,SSD 512GB,Almacenamiento,82.69,2
2024-01-27,Agustín,Disco 2TB,Almacenamiento,106.9,2
2024-05-24,Marcos,Hub USB-C,Accesorios,40.42,1
2024-04-02,Marcos,Mouse,Periféricos,16.73,1
2024-06-29,Daniela,Auriculares,Audio,38.92,1
2024-01-17,Florencia,Parlante BT,Audio,53.82,2
2024-01-09,Camila,"Monitor 27""",Pantallas,259.33,1
2024-04-26,Carlos,Parlante BT,Audio,53.08,2
2024-03-04,Ana,"Monitor 27""",Pantallas,255.39,1
2024-03-04,Jorge,Auriculares,Audio,39.83,4
2024-02-02,Rocío,Webcam,Periféricos,76.27,1
2024-03-16,Lucía,Webcam,Periféricos,75.64,2
2024-03-20,Daniela,Teclado,Periféricos,42.64,2
2024-04-06,Diego,"Monitor 24""",Pantallas,198.8,2
2024-06-06,Nicolás,"Notebook 14""",Computadoras,859.94,4
2024-04-28,Camila,Pad Mouse,Periféricos,9.53,3
2024-05-02,Rocío,Teclado,Periféricos,50.3,5
2024-05-06,Sofía,"Notebook 15""",Computadoras,1067.65,1
2024-03-24,Marta,Auriculares,Audio,54.37,3
2024-04-15,Valentina,Disco 2TB,Almacenamiento,111.72,3
2024-01-12,Federico,"Monitor 24""",Pantallas,186.25,3
2024-03-22,Carlos,"Monitor 27""",Pantallas,251.18,1
2024-05-29,Marta,"Notebook 15""",Computadoras,1125.3,2
2024-02-04,Rocío,Teclado,Periféricos,40.01,1
2024-06-30,Diego,Parlante BT,Audio,74.09,3
2024-01-04,Camila,Hub USB-C,Accesorios,34.63,4
2024-06-27,Camila,Mouse,Periféricos,19.79,5
2024-06-18,Hernán,SSD 512GB,Almacenamiento,93.34,3
2024-05-10,Ana,Hub USB-C,Accesorios,39.92,2
2024-01-08,Daniela,Teclado,Periféricos,56.9,2
2024-02-11,Paula,SSD 1TB,Almacenamiento,132.7,2
2024-02-29,Nicolás,Webcam,Periféricos,68.06,2
2024-03-24,Paula,Pad Mouse,Periféricos,8.07,3
2024-01-05,Hernán,"Notebook 14""",Computadoras,912.77,2
2024-06-12,Rocío,Cargador USB-C,Accesorios,27.87,1
2024-04-27,Nicolás,Hub USB-C,Accesorios,36.59,1
2024-04-02,Diego,"Notebook 14""",Computadoras,939.85,2
2024-06-19,Agustín,"Monitor 27""",Pantallas,251.77,2
2024-04-27,Carlos,"Notebook 14""",Computadoras,933.88,4
2024-05-13,Nicolás,"Monitor 27""",Pantallas,280.38,1
2024-05-27,Nicolás,Disco 2TB,Almacenamiento,99.28,3
2024-04-28,Agustín,Auriculares,Audio,39.75,1
2024-02-28,Daniela,SSD 512GB,Almacenamiento,80.52,1
2024-01-20,Sofía,Cargador USB-C,Accesorios,22.67,3
2024-02-19,Jorge,SSD 1TB,Almacenamiento,130.56,1
2024-06-19,Marcos,SSD 512GB,Almacenamiento,82.67,3
2024-05-07,Marcos,"Notebook 14""",Computadoras,902.55,1
2024-03-25,Florencia,Auriculares,Audio,40.8,1
2024-01-08,Hernán,"Monitor 24""",Pantallas,193.89,2
2024-02-24,Carlos,"Monitor 27""",Pantallas,250.1,3
2024-05-24,Paula,Cargador USB-C,Accesorios,28.49,2
2024-03-29,Florencia,"Monitor 27""",Pantallas,262.78,3
2024-05-21,Daniela,Cargador USB-C,Accesorios,32.36,1
2024-03-03,Nicolás,Auriculares,Audio,32.36,4
2024-03-17,Carlos,"Notebook 15""",Computadoras,1069.78,4
2024-03-22,Lucía,Disco 2TB,Almacenamiento,96.73,3
2024-05-08,Lucía,"Notebook 15""",Computadoras,1106.02,1
2024-05-22,Diego,SSD 1TB,Almacenamiento,121.43,3
2024-05-26,Daniela,SSD 1TB,Almacenamiento,121.74,1
2024-02-04,Paula,SSD 512GB,Almacenamiento,65.64,1
2024-01-11,Camila,Cable HDMI,Accesorios,14.19,3
2024-01-26,Marcos,"Notebook 15""",Computadoras,1150.49,5
2024-05-12,Marcos,"Monitor 27""",Pantallas,284.09,3
2024-03-10,Marta,"Monitor 24""",Pantallas,175.68,4
2024-04-16,Agustín,Teclado,Periféricos,48.74,2
2024-01-21,Florencia,Pad Mouse,Periféricos,10.65,2
2024-03-18,Jorge,"Monitor 24""",Pantallas,177.43,2
2024-06-04,Daniela,"Notebook 14""",Computadoras,896.07,2
2024-06-12,Diego,"Notebook 15""",Computadoras,1064.16,4
2024-04-17,Marta,"Monitor 24""",Pantallas,220.78,1
2024-05-20,Valentina,"Monitor 27""",Pantallas,250.31,2
2024-02-05,Camila,Pad Mouse,Periféricos,8.51,2
2024-02-23,Valentina,Auriculares,Audio,36.14,5
2024-05-16,Florencia,Webcam,Periféricos,70.42,3
2024-04-30,Marcos,Parlante BT,Audio,54.63,2
2024-01-19,Luis,"Notebook 15""",Computadoras,1065.35,5
2024-03-09,Pedro,Cargador USB-C,Accesorios,29.4,2
2024-05-29,Marta,Auriculares,Audio,35.1,1
2024-05-22,Diego,"Notebook 15""",Computadoras,1064.98,2
2024-03-17,Daniela,Cargador USB-C,Accesorios,26.29,4
2024-03-25,Nicolás,SSD 512GB,Almacenamiento,75.88,3
2024-01-24,Sofía,Parlante BT,Audio,80.8,1
2024-01-19,Marcos,Cargador USB-C,Accesorios,23.6,3
2024-04-06,Marta,Mouse,Periféricos,28.49,2
2024-04-06,Federico,Cargador USB-C,Accesorios,26.27,1
2024-02-18,Carlos,Parlante BT,Audio,54.8,3
2024-06-08,Pedro,Webcam,Periféricos,76.87,3
2024-01-03,Diego,"Notebook 15""",Computadoras,1105.43,1
2024-05-09,Carlos,"Monitor 27""",Pantallas,287.88,2
2024-02-13,Marta,Hub USB-C,Accesorios,36.4,1
2024-03-17,Rocío,"Monitor 27""",Pantallas,281.85,1
2024-04-15,Hernán,Disco 2TB,Almacenamiento,106.94,1
2024-04-30,Nicolás,Cable HDMI,Accesorios,8.89,1
2024-04-24,Valentina,Hub USB-C,Accesorios,33.34,1
2024-01-05,Valentina,Parlante BT,Audio,72.21,1
2024-01-30,Rocío,Teclado,Periféricos,53.82,3
2024-02-01,Jorge,"Monitor 24""",Pantallas,201.78,3
2024-05-30,Marcos,Mouse,Periféricos,24.49,1
2024-03-06,Sofía,"Monitor 27""",Pantallas,234.39,1
2024-03-15,Sofía,Mouse,Periféricos,21.03,2
2024-06-02,Sofía,Auriculares,Audio,42.59,5
2024-02-18,Paula,Cable HDMI,Accesorios,15.32,1
2024-03-22,Rocío,Cargador USB-C,Accesorios,31.94,3
2024-01-07,Valentina,Parlante BT,Audio,74.03,2
2024-05-28,Lucía,"Notebook 15""",Computadoras,1135.61,3
2024-04-04,Valentina,Cable HDMI,Accesorios,12.16,3
2024-05-04,Carlos,"Monitor 27""",Pantallas,264.78,3
2024-05-28,Marcos,"Monitor 24""",Pantallas,198.46,1
2024-01-25,Paula,Teclado,Periféricos,49.46,2
2024-04-01,Florencia,"Monitor 27""",Pantallas,258.85,2
2024-05-25,Pedro,"Notebook 14""",Computadoras,929.03,1
2024-02-12,Pedro,Mouse,Periféricos,23.47,3
2024-01-05,Luis,Pad Mouse,Periféricos,9.64,1
2024-01-11,Valentina,"Notebook 15""",Computadoras,1174.54,3
2024-03-23,Nicolás,Teclado,Periféricos,46.45,1
2024-05-23,Nicolás,"Notebook 15""",Computadoras,1142.72,1
2024-01-04,Federico,"Notebook 14""",Computadoras,849.03,1
2024-05-03,Hernán,Cargador USB-C,Accesorios,29.67,2
2024-05-03,Nicolás,Mouse,Periféricos,26.57,3
2024-01-07,Rocío,Parlante BT,Audio,71.08,2
2024-03-26,Paula,SSD 512GB,Almacenamiento,78.45,4
2024-05-12,Rocío,"Notebook 14""",Computadoras,858.14,1
2024-06-29,Ana,Mouse,Periféricos,21.69,2
2024-02-21,Lucía,Auriculares,Audio,39.79,1
2024-04-26,Marcos,Parlante BT,Audio,55.06,2
2024-06-28,Sofía,Cargador USB-C,Accesorios,27.89,4
2024-01-17,Hernán,Cable HDMI,Accesorios,12.62,2
2024-04-06,Marcos,Pad Mouse,Periféricos,10.28,2
2024-01-21,Diego,Hub USB-C,Accesorios,34.94,2
2024-06-25,Daniela,Mouse,Periféricos,29.37,2
2024-03-28,Daniela,SSD 1TB,Almacenamiento,129.75,1
2024-03-27,Paula,SSD 512GB,Almacenamiento,81.73,2
2024-05-31,Agustín,Teclado,Periféricos,37.83,6
2024-01-05,Sofía,SSD 512GB,Almacenamiento,81.24,3
2024-05-17,Paula,Cargador USB-C,Accesorios,29.62,2
2024-02-18,Valentina,Disco 2TB,Almacenamiento,113.11,1
2024-03-08,Florencia,Parlante BT,Audio,70.35,2
2024-04-23,Nicolás,Mouse,Periféricos,29.08,2
2024-03-31,Agustín,"Notebook 14""",Computadoras,902.28,4
2024-01-11,Agustín,Teclado,Periféricos,51.34,1
2024-01-17,Federico,Auriculares,Audio,33.03,2
2024-01-22,Florencia,Cable HDMI,Accesorios,9.38,2
2024-06-20,Paula,Parlante BT,Audio,66.75,2
2024-02-01,Jorge,SSD 1TB,Almacenamiento,128.63,3
2024-06-23,Rocío,Cargador USB-C,Accesorios,30.23,4
2024-03-26,Nicolás,Parlante BT,Audio,58.22,2
2024-04-01,Jorge,"Notebook 14""",Computadoras,915.99,2
2024-05-30,Florencia,Webcam,Periféricos,65.66,4
2024-01-03,Valentina,Cable HDMI,Accesorios,12.75,5
2024-04-15,Daniela,Teclado,Periféricos,41.2,5
2024-03-04,Ana,"Monitor 27""",Pantallas,250.32,3
2024-06-03,Sofía,"Notebook 15""",Computadoras,1129.43,2
2024-05-16,Florencia,Auriculares,Audio,39.11,2
2024-01-14,Florencia,Hub USB-C,Accesorios,35.05,5
2024-03-10,Carlos,"Monitor 27""",Pantallas,246.38,4
2024-02-23,Marta,Cable HDMI,Accesorios,9.21,2
2024-02-07,Marta,Webcam,Periféricos,67.37,2
2024-03-11,Daniela,"Notebook 15""",Computadoras,1079.41,3
2024-03-20,Hernán,"Notebook 14""",Computadoras,929.37,1
